abscissa	curvature	X	Y	theta	width_L	width_R
1.57540733841450133923e+02	-8.94277593776849157904e-05	1.42469390752277178080e+02	-3.21781304506805128085e+01	-1.49582286477402348623e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
1.79699303587793423276e+02	4.73962844142831324357e-03	1.44500813159074425585e+02	-5.42407488355081710552e+01	-1.44430197917769964633e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
1.90283169823275528643e+02	-3.31615941004444539364e-03	1.45950097076079543967e+02	-6.47248386830903115197e+01	-1.43676906715216490262e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
2.11299426479951137026e+02	-1.68699511099642991685e-02	1.47034551493756964646e+02	-8.56724842560287953575e+01	-1.64888732977941487867e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
2.19230583489285322685e+02	-1.27696866215083359997e-01	1.44790653381367178554e+02	-9.31624103458856609450e+01	-2.22217838813734580583e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
2.27532196256288671066e+02	-5.92092974259977727902e-02	1.37625705433413344281e+02	-9.69258233623278471214e+01	-2.99798968726575010280e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
2.33910004993315169486e+02	-9.99451318101451102738e-02	1.31341067290270132162e+02	-9.63687013725503476280e+01	-3.50551794147111284161e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
2.38480360174951329100e+02	-7.98919493875556302465e-02	1.27537718061654061330e+02	-9.38927950077932678141e+01	-3.91647760954212609263e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
2.45884607159301680213e+02	-6.97045624065046887097e-02	1.23952075179307271924e+02	-8.75226626048922042855e+01	-4.47030237019628273742e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
2.52939671650309435336e+02	-6.76461143341196800838e-03	1.23459037738335027257e+02	-8.05072334966801577139e+01	-4.74004984652660787958e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
2.62576112014178988829e+02	-9.87684586572159552154e-03	1.24087224365128307113e+02	-7.08938830156117489878e+01	-4.82023205222390949132e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
2.70780886556226221273e+02	1.08119118606154421963e-03	1.25178247045161228357e+02	-6.27624664465098618393e+01	-4.85631523396000908122e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
2.78834539101747793666e+02	6.21738033907407849216e-03	1.26243620525044363490e+02	-5.47798931852955561794e+01	-4.82692515420232126644e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
2.84522902009132451440e+02	1.89529657552526889508e-02	1.26725193442730017068e+02	-4.91131915509159000521e+01	-4.75533612288643947608e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
2.93307459998026274661e+02	5.36970084820274050352e-03	1.26545962247847796789e+02	-4.03347267084880982679e+01	-4.64850418487841210435e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
2.99006547819053992043e+02	1.12555935395531978016e-01	1.25525696161109820537e+02	-3.47564160122804040043e+01	-4.31246990636887961301e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
3.04214289739262085277e+02	5.83540032613929088301e-02	1.22416490013597012876e+02	-3.06326048356554103691e+01	-3.86744248025561043747e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
3.08198267391013075667e+02	1.26839159951854352215e-01	1.19069165081560058184e+02	-2.85144241115622421034e+01	-3.49853976852017334309e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
3.12968368331863871390e+02	5.12679617062638467995e-02	1.14366227352596339983e+02	-2.79739595339043702893e+01	-3.07374529422354481056e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
3.17216866965951965085e+02	1.25949378787146709646e-01	1.10253864013701900149e+02	-2.89349818196732471165e+01	-2.69729147971420113450e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
3.20687086552251514604e+02	1.10602352017855329325e-01	1.07518942359084377358e+02	-3.10312805128401691945e+01	-2.28684825498760258000e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
3.23600875017714940896e+02	2.10556658340899441328e-02	1.05880161870049519734e+02	-3.34349783652725349725e+01	-2.09503644814556677645e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
3.27721958663829752822e+02	1.71278448107384906329e-01	1.04370279162705401177e+02	-3.72393928722081426486e+01	-1.69872396206859455070e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
3.32066926309793132077e+02	-3.57102460969445367756e-02	1.04778090940693161315e+02	-4.15469862785943462313e+01	-1.40420423715304343304e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
3.38180137896413327780e+02	1.12332758278449722916e-02	1.05420235209171664792e+02	-4.76245931985286574673e+01	-1.47902068293766597584e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
